count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
4.360000,0.020000,-9.448842,2.284440,6.389037,-0.695381,0.800785,-4.858970,-0.680762,0.806824,-4.913146,-0.888677,0.263643,0.375161,Walking
4.380000,0.020000,-9.568952,2.172803,6.243343,-0.709656,0.795707,-4.803192,-0.695381,0.800785,-4.858970,-0.902669,0.247371,0.352132,Walking
4.400000,0.020000,-9.707055,1.999909,6.012210,-0.722731,0.791671,-4.744350,-0.709656,0.795707,-4.803192,-0.922867,0.224438,0.312961,Walking
4.420000,0.020000,-9.855264,1.830931,5.679349,-0.734359,0.790378,-4.682295,-0.722731,0.791671,-4.744350,-0.945346,0.193230,0.262647,Walking
4.440000,0.020000,-9.968460,1.554397,5.264775,-0.744461,0.790792,-4.618610,-0.734359,0.790378,-4.682295,-0.964666,0.156338,0.212082,Walking
4.460000,0.020000,-9.921299,1.384957,5.058170,-0.750717,0.795040,-4.549306,-0.744461,0.790792,-4.618610,-0.979462,0.119525,0.162382,Walking
4.480000,0.020000,-9.857507,1.139944,4.644037,-0.753615,0.801232,-4.478449,-0.750717,0.795040,-4.549306,-0.990068,0.084645,0.112251,Walking
4.500000,0.020000,-9.665534,0.938371,4.223334,-0.751293,0.810336,-4.405336,-0.753615,0.801232,-4.478449,-0.997109,0.049253,0.057868,Walking
4.520000,0.020000,-9.487091,0.706739,3.595949,-0.744848,0.822226,-4.333284,-0.751293,0.810336,-4.405336,-0.999934,0.011441,-0.000678,Walking
4.540000,0.020000,-9.283544,0.415345,2.972147,-0.734773,0.836314,-4.261813,-0.744848,0.822226,-4.333284,-0.997684,-0.029467,-0.061304,Walking
4.560000,0.020000,-9.036351,0.141322,2.339694,-0.721292,0.852958,-4.190801,-0.734773,0.836314,-4.261813,-0.989851,-0.070424,-0.123436,Walking
4.580000,0.020000,-8.768302,-0.176925,1.663187,-0.705096,0.870755,-4.120885,-0.721292,0.852958,-4.190801,-0.976359,-0.108746,-0.186810,Walking
4.600000,0.020000,-8.453962,-0.460191,0.956229,-0.686342,0.889389,-4.052384,-0.705096,0.870755,-4.120885,-0.957357,-0.141884,-0.251667,Walking
4.620000,0.020000,-4.797027,-1.458822,-4.669300,-0.624664,0.913090,-4.041584,-0.686342,0.889389,-4.052384,-0.803359,-0.269507,-0.531019,Fall
4.640000,0.020000,-3.846970,-0.194241,-4.183468,-0.580085,0.965225,-3.981763,-0.624664,0.913090,-4.041584,-0.619359,-0.285524,-0.731348,Fall
4.660000,0.020000,-4.905423,-0.515159,-3.183366,-0.549121,0.998184,-3.904140,-0.580085,0.965225,-3.981763,-0.657863,-0.220503,-0.720135,Fall
4.680000,0.020000,-5.042209,-3.997601,-2.664630,-0.532690,1.016628,-3.834716,-0.549121,0.998184,-3.904140,-0.597731,-0.501509,-0.625464,Fall
4.700000,0.020000,-7.891331,-5.176664,-5.380260,-0.584851,0.978452,-3.790474,-0.532690,1.016628,-3.834716,-0.538560,-0.333114,-0.773943,Fall
4.720000,0.020000,-4.781683,-2.671584,-4.930078,-0.596992,0.998516,-3.727453,-0.584851,0.978452,-3.790474,-0.425547,-0.374594,-0.823766,Fall
4.740000,0.020000,-4.366181,-7.879288,-4.160586,-0.617366,0.979808,-3.689317,-0.596992,0.998516,-3.727453,-0.341231,-0.707837,-0.618489,Fall
4.760000,0.020000,-4.008806,-8.807165,-4.394392,-0.641643,0.962377,-3.676308,-0.617366,0.979808,-3.689317,-0.284910,-0.808931,-0.514254,Fall
4.780000,0.020000,-3.478436,-9.271128,-2.762996,-0.668583,0.946092,-3.641737,-0.641643,0.962377,-3.676308,-0.217271,-0.862069,-0.457855,Fall
4.800000,0.020000,-3.208634,-8.841763,-1.896959,-0.663367,0.932680,-3.596176,-0.668583,0.946092,-3.641737,-0.353666,-0.832945,-0.425586,Fall
4.820000,0.020000,-4.219822,-9.759030,1.109793,-0.662410,0.912514,-3.549909,-0.663367,0.932680,-3.596176,-0.435032,-0.892018,-0.122687,Fall
4.840000,0.020000,-4.530636,-9.935828,3.224356,-0.659391,0.885088,-3.505095,-0.662410,0.912514,-3.549909,-0.477226,-0.873041,0.100272,Fall
4.860000,0.020000,-4.882621,-9.575136,4.689521,-0.657448,0.856343,-3.456969,-0.659391,0.885088,-3.505095,-0.507620,-0.829550,0.232743,Fall
4.880000,0.020000,-5.074909,-9.456987,5.151389,-0.653408,0.824632,-3.404656,-0.657448,0.856343,-3.456969,-0.537912,-0.802392,0.258491,Fall
4.900000,0.020000,-5.060200,-9.722694,4.938549,-0.644885,0.786492,-3.350832,-0.653408,0.824632,-3.404656,-0.559262,-0.796709,0.229085,Fall
4.920000,0.020000,-4.963302,-9.848694,4.503066,-0.632812,0.747480,-3.294628,-0.644885,0.786492,-3.350832,-0.567474,-0.805104,0.172568,Fall
4.940000,0.020000,-4.658165,-9.962230,3.787889,-0.615954,0.709474,-3.238659,-0.632812,0.747480,-3.294628,-0.560763,-0.821810,0.100860,Fall
4.960000,0.020000,-4.195566,-10.111360,3.115935,-0.592825,0.671472,-3.184514,-0.615954,0.709474,-3.238659,-0.545570,-0.837029,0.041658,Fall
4.980000,0.020000,-2.729992,-9.578526,3.226788,-0.546955,0.646697,-3.144055,-0.592825,0.671472,-3.184514,-0.512079,-0.850127,0.122717,Fall
5.000000,0.020000,-3.568974,-8.725154,3.817517,-0.525863,0.640053,-3.109738,-0.546955,0.646697,-3.144055,-0.471310,-0.855552,0.214236,Fall
5.020000,0.020000,-3.471902,-9.185736,3.299081,-0.509778,0.628475,-3.083116,-0.525863,0.640053,-3.109738,-0.435899,-0.877353,0.200607,Fall
5.040000,0.020000,-3.191987,-10.060340,3.050021,-0.510117,0.608645,-3.061669,-0.509778,0.628475,-3.083116,-0.323653,-0.924449,0.201601,Fall
5.060000,0.020000,-3.356422,-9.684987,1.358210,-0.534270,0.604911,-3.058180,-0.510117,0.608645,-3.061669,-0.219038,-0.968226,0.120666,Fall
5.080000,0.020000,-3.133440,-9.808917,0.091314,-0.561428,0.601446,-3.046600,-0.534270,0.604911,-3.058180,-0.180990,-0.982228,-0.049711,Fall
5.100000,0.020000,-3.129601,-9.937713,-2.948006,-0.602229,0.585421,-3.037520,-0.561428,0.601446,-3.046600,-0.111070,-0.931343,-0.346792,Fall
5.120000,0.020000,-1.798177,-7.627409,-5.834287,-0.622572,0.576904,-3.021897,-0.602229,0.585421,-3.037520,-0.079613,-0.734103,-0.674355,Fall
5.140000,0.020000,-2.076410,-5.035397,-8.002800,-0.638777,0.566022,-3.009371,-0.622572,0.576904,-3.021897,-0.129069,-0.457826,-0.879623,Fall
5.160000,0.020000,-2.104720,-3.036137,-8.350094,-0.650402,0.567718,-2.992880,-0.638777,0.566022,-3.009371,-0.155297,-0.318142,-0.935237,Fall
5.180000,0.020000,-1.590863,-3.657093,-8.700870,-0.656460,0.566309,-2.986106,-0.650402,0.567718,-2.992880,-0.131291,-0.365607,-0.921463,Fall
5.200000,0.020000,-1.285789,-3.328225,-8.586377,-0.656377,0.575525,-2.978707,-0.656460,0.566309,-2.986106,-0.131491,-0.386242,-0.912977,Fall
5.220000,0.020000,-0.204790,-5.521909,-8.630189,-0.640785,0.580313,-2.993736,-0.656377,0.575525,-2.978707,-0.100345,-0.587288,-0.803134,Fall
5.240000,0.020000,-1.472548,-6.493580,-7.796690,-0.663700,0.551791,-2.981802,-0.640785,0.580313,-2.993736,-0.033313,-0.516566,-0.855599,Fall
5.260000,0.020000,-0.781401,-1.264764,-8.996371,-0.662033,0.569849,-2.971162,-0.663700,0.551791,-2.981802,-0.088151,-0.220964,-0.971290,Fall
5.280000,0.020000,-1.440788,-2.464093,-8.815974,-0.660013,0.577802,-2.962366,-0.662033,0.569849,-2.971162,-0.157166,-0.291718,-0.943504,Fall
5.300000,0.020000,-1.616035,-3.215200,-8.935526,-0.655330,0.587751,-2.963279,-0.660013,0.577802,-2.962366,-0.188603,-0.378453,-0.906202,Fall
5.320000,0.020000,-2.128452,-4.299854,-7.316853,-0.650529,0.603412,-2.948632,-0.655330,0.587751,-2.963279,-0.241435,-0.518138,-0.820514,Fall
5.340000,0.020000,-3.897158,-4.889239,-9.919881,-0.672249,0.556880,-2.966180,-0.650529,0.603412,-2.948632,-0.286561,-0.261227,-0.921761,Fall
5.360000,0.020000,-2.129324,-0.572356,-9.124086,-0.673438,0.572401,-2.958784,-0.672249,0.556880,-2.966180,-0.210996,-0.137449,-0.967775,Fall
5.380000,0.020000,-1.480141,-3.127762,-8.908903,-0.666809,0.585803,-2.959727,-0.673438,0.572401,-2.958784,-0.184665,-0.387143,-0.903338,Fall
5.400000,0.020000,-2.200296,-4.081496,-7.641217,-0.665064,0.592746,-2.943566,-0.666809,0.585803,-2.959727,-0.233186,-0.451444,-0.861291,Fall
5.420000,0.020000,-2.442599,-4.574135,-8.952087,-0.663120,0.586096,-2.953145,-0.665064,0.592746,-2.943566,-0.258901,-0.432377,-0.863725,Fall
5.440000,0.020000,-2.562014,-4.562572,-6.721376,-0.662162,0.595724,-2.927594,-0.663120,0.586096,-2.953145,-0.266046,-0.514166,-0.815386,Fall
5.460000,0.020000,-3.511514,-6.096896,-8.448812,-0.691138,0.559452,-2.924949,-0.662162,0.595724,-2.927594,-0.210264,-0.436627,-0.874726,Fall
5.480000,0.020000,-0.681460,-2.623787,-9.978866,-0.682231,0.568950,-2.939741,-0.691138,0.559452,-2.924949,-0.114868,-0.315869,-0.941824,Fall
5.500000,0.020000,-0.638838,-4.487557,-8.175549,-0.675409,0.581568,-2.937026,-0.682231,0.568950,-2.939741,-0.099892,-0.521758,-0.847225,Fall
5.520000,0.020000,-1.133361,-5.617767,-7.774566,-0.670785,0.582956,-2.934999,-0.675409,0.581568,-2.937026,-0.139098,-0.579733,-0.802846,Fall
5.540000,0.020000,-1.151694,-6.108380,-7.648637,-0.667007,0.579732,-2.934258,-0.670785,0.582956,-2.934999,-0.136655,-0.606235,-0.783457,Fall
5.560000,0.020000,-1.318476,-6.016896,-7.881531,-0.668057,0.579548,-2.938864,-0.667007,0.579732,-2.934258,-0.129051,-0.612404,-0.779941,Fall
5.580000,0.020000,-0.789039,-6.466373,-7.317400,-0.658583,0.587695,-2.947526,-0.668057,0.579548,-2.938864,-0.128715,-0.700689,-0.701760,Fall
5.600000,0.020000,-0.981012,-7.847279,-6.123952,-0.656092,0.587299,-2.953825,-0.658583,0.587695,-2.947526,-0.112701,-0.797907,-0.592151,Fall
5.620000,0.020000,-1.290673,-7.821542,-5.882696,-0.662744,0.581923,-2.947747,-0.656092,0.587299,-2.953825,-0.097660,-0.769904,-0.630643,Fall
5.640000,0.020000,-0.905043,-7.131511,-6.650856,-0.663637,0.582045,-2.947271,-0.662744,0.581923,-2.947747,-0.087707,-0.727581,-0.680392,Fall
5.660000,0.020000,-0.488572,-7.191422,-6.856689,-0.659073,0.579061,-2.948568,-0.663637,0.582045,-2.947271,-0.073068,-0.717862,-0.692341,Fall
5.680000,0.020000,-0.654462,-7.136630,-6.449959,-0.658773,0.585083,-2.950338,-0.659073,0.579061,-2.948568,-0.068240,-0.758180,-0.648464,Fall
5.700000,0.020000,-0.442058,-8.071871,-5.924984,-0.655281,0.584156,-2.956683,-0.658773,0.585083,-2.950338,-0.062860,-0.818096,-0.571635,Fall
5.720000,0.020000,-0.862484,-8.026335,-5.671810,-0.663540,0.579647,-2.951494,-0.655281,0.584156,-2.956683,-0.045827,-0.795199,-0.604615,Fall
5.740000,0.020000,-0.423091,-7.358542,-6.555627,-0.664049,0.577628,-2.950840,-0.663540,0.579647,-2.951494,-0.040534,-0.739813,-0.671590,Fall
